District,Star_Beds,Non_Star_Beds,Travel_Bureau,Seats,Restaurant,Non_Star_Rooms,Star_Rooms,Local_Revenue
Kab. Jembrana,224,1172,0,88,136,919,158,175992613
Kab. Tabanan,941,1777,0,2435,92,1584,903,436408393
Kab. Badung,60006,20126,155,46103,823,14490,43163,3705745447
Kab. Gianyar,2418,8973,8,17919,952,7282,1860,857553633
Kab. Klungkung,484,2834,0,4024,245,2477,333,309462458
Kab. Bangli,36,1034,0,4524,47,789,31,144005843
Kab. Karangasem,593,4235,1,2935,146,2828,352,301332231
Kab. Buleleng,830,3812,1,5736,200,2813,656,410564892
Kota Denpasar,7989,4530,251,34336,604,3133,4914,888051856
Kab. Jembrana,178,1177,0,88,158,899,132,185004035
Kab. Tabanan,115,1718,4,3958,119,1483,87,362314631
Kab. Badung,52636,16411,50,60499,728,12239,39219,1750345226
Kab. Gianyar,2145,8545,15,17919,1053,7193,1794,430172109
Kab. Klungkung,448,2951,4,4024,375,2486,306,254494496
Kab. Bangli,0,661,2,4524,14,503,0,163537096
Kab. Karangasem,410,3311,2,2935,269,2597,351,252688747
Kab. Buleleng,1300,3512,4,16051,548,2606,598,391988445
Kota Denpasar,5962,3953,275,34336,604,2804,3815,792362414
Kab. Jembrana,99,1276,0,88,136,1507,92,148045103
Kab. Tabanan,214,2067,4,2423,80,2492,124,313042530
Kab. Badung,45700,27497,154,46103,823,31862,23650,2116974302
Kab. Gianyar,2097,11402,23,17919,952,15856,1113,545869873
Kab. Klungkung,355,3824,1,4024,245,3551,333,220893875
Kab. Bangli,0,621,2,4524,47,474,0,104325150
Kab. Karangasem,265,2801,2,2935,146,2335,196,219176733
Kab. Buleleng,826,6315,1,5736,200,4764,639,318986891
Kota Denpasar,5206,4608,270,34336,604,3499,1197,731261281
Kab. Jembrana,170,1043,0,88,134,810,124,133698784
Kab. Tabanan,328,2450,4,2435,80,1736,189,354558239
Kab. Badung,67233,33892,154,46103,823,25350,49406,4835188460
Kab. Gianyar,1632,13015,23,17919,612,10489,1336,997478368
Kab. Klungkung,42,2755,1,4024,243,2119,40,225063772
Kab. Bangli,0,605,2,4524,44,338,0,127040436
Kab. Karangasem,480,4049,2,2935,146,3031,380,233013033
Kab. Buleleng,1146,5663,1,5736,200,4052,938,365595301
Kota Denpasar,9205,8544,270,32931,582,6259,6357,1010779481
Kab. Jembrana,184,1047,0,88,76,798,119,126477267
Kab. Tabanan,270,1689,3,1723,40,1199,191,363370469
Kab. Badung,66654,40345,146,46103,823,28371,44571,4555716407
Kab. Gianyar,1825,12134,23,17919,622,9854,1221,770204849
Kab. Klungkung,379,2699,1,2908,146,2129,260,186974284
Kab. Bangli,0,471,1,4558,36,366,0,122686254
Kab. Karangasem,409,4499,1,2901,120,2936,321,200361247
Kab. Buleleng,992,4941,1,5736,200,3473,807,335555494
Kota Denpasar,8088,10942,270,24864,455,7316,5437,940110335
Kab. Jembrana,162,1195,0,88,76,880,119,121342475
Kab. Tabanan,231,1739,3,1723,40,1359,193,426635751
Kab. Badung,83231,45482,135,46103,823,32127,58694,4172457396
Kab. Gianyar,1463,10784,20,17595,505,8772,1135,662753475
Kab. Klungkung,385,2093,1,951,31,1792,263,153210776
Kab. Bangli,0,582,1,2760,30,403,0,104592163
Kab. Karangasem,442,3756,1,2829,118,2811,329,198575057
Kab. Buleleng,953,3900,1,4947,173,2974,709,455195426
Kota Denpasar,7355,10946,243,24864,455,7499,4835,1008710712
Kab. Jembrana,-,1043,0,88,76,-,-,114533487
Kab. Tabanan,-,2450,3,1598,32,-,-,318083799
Kab. Badung,-,33892,132,46103,823,-,-,3563459640
Kab. Gianyar,-,13015,20,17425,504,-,-,529864618
Kab. Klungkung,-,2755,1,951,31,-,-,134142054
Kab. Bangli,-,605,1,2760,22,-,-,104829402
Kab. Karangasem,-,4049,1,2829,118,-,-,318083799
Kab. Buleleng,-,5663,1,4947,173,-,-,282113900
Kota Denpasar,-,8544,213,23957,438,-,-,807050192
Kab. Jembrana,120,1047,0,-,76,780,87,98032646
Kab. Tabanan,414,1689,3,1448,32,1116,338,300799021
Kab. Badung,36280,40345,131,59639,825,10863,25154,3001464263
Kab. Gianyar,1192,12134,19,17425,504,3725,1001,45721018
Kab. Klungkung,113,2699,1,951,31,888,104,120035996
Kab. Bangli,0,471,1,3610,17,254,0,87731141
Kab. Karangasem,477,4499,1,2135,70,2273,350,243125914
Kab. Buleleng,1023,4941,1,4947,173,2272,781,293038467
Kota Denpasar,5038,10942,211,24740,449,6546,3781,776214149
Kab. Jembrana,95,1195,0,-,76,793,65,89349645
Kab. Tabanan,516,1739,3,1448,32,1185,326,273426482
Kab. Badung,35067,45482,129,60305,833,10168,23172,2722625563
Kab. Gianyar,1012,10784,19,10513,405,3702,845,424472546
Kab. Klungkung,101,2093,1,951,31,785,92,98837766
Kab. Bangli,0,582,1,3610,17,273,0,76141461
Kab. Karangasem,426,3756,1,2135,70,2070,290,239425005
Kab. Buleleng,725,3900,1,3792,145,2426,541,219682330
Kota Denpasar,4930,10946,211,24740,449,5451,3480,698739758
Kab. Jembrana,107,939,0,-,136,722,77,68485482
Kab. Tabanan,396,1375,3,470,40,1066,326,255418218
Kab. Badung,28978,13966,117,7836,96,9797,18895,2279113502
Kab. Gianyar,811,4730,17,13955,378,3615,679,319612005
Kab. Klungkung,199,1556,0,951,31,784,122,67401910
Kab. Bangli,0,357,1,3610,17,247,0,55986570
Kab. Karangasem,590,3947,1,6229,246,1924,287,168652790
Kab. Buleleng,789,3160,0,2117,53,2347,561,160292011
Kota Denpasar,6303,9212,220,6675,72,5511,3913,658974707
Kab. Jembrana,103,973,0,-,136,731,71,46470111
Kab. Tabanan,451,1241,3,470,40,966,361,183295007
Kab. Badung,28639,12987,116,41744,623,9112,18613,1870187279
Kab. Gianyar,775,4653,15,9556,238,3417,642,261222178
Kab. Klungkung,104,704,0,1198,39,530,76,48561525
Kab. Bangli,0,251,1,3136,39,185,0,40751050
Kab. Karangasem,569,3737,1,3222,95,1826,306,144019629
Kab. Buleleng,741,2760,0,2117,53,2029,527,129003995
Kota Denpasar,5455,8975,198,7025,76,5526,3619,511326621
Kab. Jembrana,169,925,0,0,0,660,121,41330606
Kab. Tabanan,525,943,0,0,0,795,360,141046017
Kab. Badung,26074,12976,0,0,0,9058,17577,1406298099
Kab. Gianyar,643,4391,0,0,0,3244,522,175273316
Kab. Klungkung,59,566,0,0,0,423,57,40735839
Kab. Bangli,0,363,0,0,0,256,0,22961237
Kab. Karangasem,413,2407,0,0,0,1664,300,129556195
Kab. Buleleng,737,2739,0,0,0,2000,549,109167026
Kota Denpasar,5291,8815,0,0,0,5469,3308,424959413
